x,y,radar,true
3.5,38.5,1.06062537427,0.0
3.5,39.5,1.06062537427,0.0
3.5,40.5,1.1243601485,0.0
3.5,41.5,1.1243601485,0.0
3.5,42.5,1.1243601485,0.0
3.5,43.5,1.1243601485,0.0
3.5,44.5,1.1243601485,0.0
3.5,45.5,1.00500268971,0.0
3.5,46.5,1.00500268971,0.0
3.5,47.5,1.00500268971,0.0
3.5,48.5,1.00500268971,0.0
3.5,49.5,1.00500268971,0.0
3.5,50.5,1.24484101885,0.0
3.5,51.5,1.24484101885,0.0
3.5,52.5,1.24484101885,0.0
3.5,53.5,1.24484101885,0.0
3.5,54.5,1.24484101885,0.0
3.5,55.5,1.18512008448,0.0
3.5,56.5,1.18512008448,0.0
3.5,57.5,1.18512008448,0.0
3.5,58.5,1.18512008448,0.0
3.5,59.5,1.18512008448,0.0
3.5,60.5,1.05063462293,0.0
3.5,61.5,1.05063462293,0.0
3.5,62.5,1.05063462293,0.0
3.5,63.5,1.05063462293,0.0
3.5,64.5,1.05063462293,0.0
3.5,65.5,1.22764185999,0.0
3.5,66.5,1.22764185999,0.0
3.5,67.5,1.22764185999,0.0
3.5,68.5,1.22764185999,0.0
3.5,69.5,1.22764185999,0.0
3.5,70.5,1.03189111993,0.0
3.5,71.5,1.03189111993,0.0
3.5,72.5,1.03189111993,0.0
3.5,73.5,1.03189111993,0.0
3.5,74.5,1.03189111993,0.0
3.5,75.5,1.03112314131,0.0
3.5,76.5,1.03112314131,0.0
3.5,77.5,1.03112314131,0.0
3.5,78.5,1.03112314131,0.0
3.5,79.5,1.03112314131,0.0
3.5,80.5,1.02909697922,0.0
3.5,81.5,1.02909697922,0.0
3.5,82.5,1.02909697922,0.0
3.5,83.5,1.02909697922,0.0
3.5,84.5,1.02909697922,0.0
3.5,85.5,1.06857179086,0.0
3.5,86.5,1.06857179086,0.0
3.5,87.5,1.06857179086,0.0
3.5,88.5,1.06857179086,0.0
3.5,89.5,1.06857179086,0.0
3.5,90.5,1.01430105913,0.0
3.5,91.5,1.01430105913,0.0
3.5,92.5,1.01430105913,0.0
3.5,93.5,1.01430105913,0.0
3.5,94.5,1.01430105913,0.0
3.5,95.5,1.12405399034,0.0
3.5,96.5,1.12405399034,0.0
3.5,97.5,1.12405399034,0.0
3.5,98.5,1.12405399034,0.0
3.5,99.5,1.12405399034,0.0
3.5,100.5,1.09209470153,0.0
3.5,101.5,1.09209470153,0.0
3.5,102.5,1.09209470153,0.0
3.5,103.5,1.09209470153,0.0
3.5,104.5,1.09209470153,0.0
3.5,105.5,1.07668031476,0.0
3.5,106.5,1.07668031476,0.0
3.5,107.5,1.07668031476,0.0
3.5,108.5,1.07668031476,0.0
3.5,109.5,1.07668031476,0.0
3.5,110.5,1.06730971322,0.0
3.5,111.5,1.06730971322,0.0
3.5,112.5,1.06730971322,0.0
3.5,113.5,1.06730971322,0.0
3.5,114.5,1.06730971322,0.0
3.5,115.5,1.04834255718,0.0
